recording_id,species_id,songtype_id,is_tp,pca_1,pca_2,tsne_1,tsne_2
8028f97c2,12,1,0,1.3073546572071504,-4.0994989472228855,21.855719,-28.418428
7e60a570a,23,1,0,-3.3318332828409534,-0.5653630821852361,-14.329697,-18.004597
b441cf212,23,4,1,-6.952087463170739,-1.4657546025105632,-24.352438,4.513342
cddceb09a,12,1,0,0.07059290561856103,-1.4307219276539715,9.486237,-8.81842
adbe22d73,10,1,0,-6.456916414954058,-1.8170611401370833,-30.31964,-8.441076
acb80ff69,17,1,0,-2.216396687570891,1.4656793228575211,-11.129242,23.309685
b1567318d,17,4,0,-6.8739489519358115,-1.9025315071249698,-25.771019,4.5143847
23f2f2080,17,1,0,-2.4531124416749406,-0.07492300119805911,-19.062271,6.167103
c12e0a62b,17,1,1,0.9140065640415445,-1.8275337524455528,12.966099,-7.812936
a12182698,17,1,0,4.135393994567281,-0.511677273590079,26.003235,-6.367842
c4ec1e7de,12,1,1,-1.1763614132690898,1.8392284467783768,11.225136,28.22549
19d786948,17,4,0,-5.785934435657576,2.0262045857711595,-39.79143,22.303366
fb71ca02d,23,1,0,4.2776219156899185,4.695900595699186,20.612705,24.75011
5bc5ecedf,18,1,0,1.1877140263991068,6.745520937733162,28.461048,16.59225
180d82dca,17,4,0,-2.8579708522279117,3.2062124228897653,-32.78052,26.20658
62433a307,18,1,0,9.547360342980516,-5.895861975937631,40.34591,-16.284367
1d949c49d,23,4,0,-3.121549981260836,0.7352035996411396,-13.831442,14.8342
22a4f5ea7,10,1,0,3.8362001781857145,4.754357347346053,23.584095,22.19121
d91f26b37,17,4,0,-5.392895838994013,2.213093005507173,-33.789062,14.216278
caf8b47ae,12,1,0,2.8625330179821855,2.048505069299309,26.915644,12.502367
e0e8ceb33,18,1,1,-0.609843215724776,7.171203367101274,10.488984,47.02913
ce4002d4e,23,4,0,0.6770082344500682,-1.140757989893366,-4.742508,-42.417034
27c146a88,23,4,0,-5.386935878883623,-1.0318604969576126,-38.343662,-2.6029773
7a578a3db,17,4,0,-8.77211594471423,0.33828217936043287,-47.313583,16.224188
4261df85b,23,4,0,-2.4075670421407542,2.8665088396135134,-2.3216422,25.791653
5b1e3b55b,17,1,1,-4.65873964595262,2.494257014301821,-20.113434,34.13178
4f1e24bce,10,1,0,-5.808164427593478,-1.4815693074985077,-29.54276,-7.988434
551385b05,10,1,0,4.638486633364304,1.6319668032411934,24.319258,4.653703
d59d099b3,17,1,1,-7.20211904933956,-0.16777421376407345,-37.497845,9.9311905
9074b816c,17,4,0,2.0293936480477526,3.779477904480593,15.803974,27.895138
46d4f692a,18,1,0,-2.529063745818896,-1.396762002199477,-10.034629,-26.734474
6d108a590,18,1,0,12.689637258351443,0.9890698439420256,41.421085,-0.9264919
28974b8b6,17,1,0,3.228583388799241,0.9053015309469594,11.3099985,51.237625
f7cf8e342,12,1,0,-3.220916374235257,-0.9567320249820584,-19.574673,5.201092
af0cf8016,10,1,0,5.993258849026042,-4.785936623107129,28.148458,-14.61763
